"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,3,310,57722,49,10376,0.00534188034188034,0.00470023980815348,0.000641640533726865,-0.000750153728286647,0.00139179426201351,68457
"2",NA,NA,0,0,0,NA,NA,NA,1,0,0,1,NA,NA,5,30,6318,0,1068,0.00472589792060491,0,0.00472589792060491,0.00150988356155257,0.00321601435905234,7416
"3",1,0,1,0,NA,1,NA,0,NA,0,NA,1,NA,NA,8,11,381,1,64,0.0280612244897959,0.0153846153846154,0.0126766091051805,-0.012640649480131,0.0253172585853116,457
"4",0,0,1,0,NA,1,NA,0,NA,0,NA,1,NA,NA,9,102,2055,14,362,0.0472878998609179,0.0372340425531915,0.0100538573077265,0.0275424961502309,0.0174886388425044,2533
"5",NA,NA,1,0,NA,0,NA,1,1,0,NA,1,NA,NA,11,5,125,1,27,0.0384615384615385,0.0357142857142857,0.00274725274725275,0.0335570469798658,0.030809794232613,158
"6",NA,NA,1,0,NA,0,NA,1,0,0,NA,1,NA,NA,12,51,453,4,57,0.101190476190476,0.0655737704918033,0.0356167056986729,0.0751228501228501,0.0395061444241772,565
"7",NA,NA,NA,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,15,1691,9371,251,1736,0.152865666244802,0.126321087065929,0.0265445791788735,0.0137768682206074,0.0127677109582661,13049
"8",NA,NA,NA,1,NA,0,NA,1,NA,1,NA,NA,NA,NA,16,73,208,6,35,0.259786476868327,0.146341463414634,0.113445013453693,0.120080796823849,0.00663578337015575,322
"9",NA,0,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,19,318,2015,27,393,0.136305186455208,0.0642857142857143,0.0720194721694936,0.0347020685396727,0.0373174036298209,2753
"10",NA,1,1,0,NA,0,NA,NA,NA,1,NA,NA,NA,NA,20,55,236,5,44,0.189003436426117,0.102040816326531,0.0869626200995862,0.128571428571429,0.0416088084718423,340
"11",NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,21,1416,2025,162,341,0.411508282476024,0.3220675944334,0.0894406880426248,0.094985243955456,0.00554455591283121,3944
