"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,3,309,57687,56,10552,0.005327953651976,0.0052790346907994,4.89189611766012e-05,-0.000157530839525625,0.000206449800702226,68604
"2",NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,1,NA,NA,5,14,3230,0,589,0.00431565967940814,0,0.00431565967940814,-0.000701338330825201,0.00501699801023334,3833
"3",NA,NA,NA,0,NA,NA,0,NA,1,0,NA,1,NA,NA,7,41,4094,3,714,0.00991535671100363,0.00418410041841004,0.00573125629259359,0.00377755519455924,0.00195370109803434,4852
"4",NA,0,1,0,NA,1,0,0,0,0,NA,1,NA,NA,9,92,1460,11,229,0.0592783505154639,0.0458333333333333,0.0134450171821306,0.0251679731243001,0.0117229559421695,1792
"5",NA,NA,1,0,NA,0,0,NA,0,0,NA,1,NA,NA,10,47,422,3,56,0.100213219616205,0.0508474576271186,0.049365761989086,0.0795893719806763,0.0302236099915903,528
"6",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,1840,9421,286,1818,0.163395790782346,0.135931558935361,0.0274642318469849,0.0177279159025754,0.00973631594440952,13365
"7",NA,0,0,0,1,1,NA,0,0,1,NA,0,NA,NA,16,202,178,29,29,0.531578947368421,0.5,0.031578947368421,-0.112941176470588,0.144520123839009,438
"8",NA,NA,0,0,1,0,NA,NA,0,1,NA,0,NA,NA,17,127,70,9,13,0.644670050761421,0.409090909090909,0.235579141670512,0.0604465709728867,0.175132570697626,219
"9",NA,NA,1,0,1,NA,NA,NA,0,1,1,0,NA,NA,18,36,122,5,29,0.227848101265823,0.147058823529412,0.080789277736411,0.116581777023203,0.0357924992867922,192
"10",NA,NA,NA,0,0,NA,NA,0,1,1,0,1,NA,NA,21,10,421,5,87,0.0232018561484919,0.0543478260869565,-0.0311459699384646,-0.00658252907696115,0.0245634408615035,523
"11",NA,NA,NA,0,NA,NA,NA,0,0,1,NA,1,NA,NA,22,982,2715,128,454,0.265620773600216,0.219931271477663,0.0456895021225532,0.0983554668439312,0.052665964721378,4279
"12",NA,1,NA,0,NA,0,NA,1,NA,1,NA,1,NA,NA,24,189,409,17,69,0.316053511705686,0.197674418604651,0.118379093101034,0.125580701132484,0.00720160803144934,684
"13",NA,0,NA,0,NA,0,NA,1,NA,1,NA,1,NA,NA,25,231,379,21,58,0.378688524590164,0.265822784810127,0.112865739780037,0.231167171623488,0.11830143184345,689
