"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2001,65370,285,11819,0.0297012067506791,0.0235459352280238,0.00615527152265528,-0.000450991938899012,0.00660626346155429,79475
"2",1,NA,0,1,0,0,0,1,1,NA,0,1,NA,NA,7,2,727,0,134,0.00274348422496571,0,0.00274348422496571,-0.012,0.0147434842249657,863
"3",0,NA,0,1,0,0,1,1,1,NA,0,1,NA,NA,9,0,133,0,18,0,0,0,0,0,151
"4",1,0,0,1,0,0,1,1,1,NA,0,1,NA,NA,10,1,249,0,47,0.004,0,0.004,0.00719424460431655,0.00319424460431655,297
"5",NA,NA,1,1,NA,0,NA,1,1,NA,NA,1,NA,NA,11,4,197,1,36,0.0199004975124378,0.027027027027027,-0.00712652951458922,0.0109289617486339,0.0180554912632231,238
"6",NA,NA,1,1,NA,0,NA,1,0,NA,NA,NA,NA,NA,13,36,577,3,95,0.0587275693311582,0.0306122448979592,0.0281153244331991,0.0139563106796117,0.0141590137535874,711
"7",NA,NA,0,1,NA,0,NA,1,0,1,NA,NA,NA,NA,14,58,96,4,18,0.376623376623377,0.181818181818182,0.194805194805195,0.19873417721519,0.00392898240999506,176
"8",NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,NA,17,134,8269,9,1453,0.0159466857074854,0.00615595075239398,0.00979073495509144,0.00447030211391294,0.0053204328411785,9865
"9",NA,NA,NA,0,0,0,NA,NA,1,0,0,1,NA,NA,19,6,484,0,68,0.0122448979591837,0,0.0122448979591837,0.00246293639406982,0.00978196156511385,558
"10",NA,NA,1,0,NA,0,NA,NA,0,0,NA,1,NA,NA,20,40,436,2,66,0.0840336134453782,0.0294117647058824,0.0546218487394958,0.0631315472327802,0.00850969849328439,544
"11",NA,0,0,0,1,NA,NA,NA,NA,1,NA,0,NA,NA,24,247,200,30,30,0.552572706935123,0.5,0.0525727069351231,-0.0925490196078431,0.145121726542966,507
"12",NA,0,1,0,1,NA,NA,NA,0,1,1,0,NA,NA,25,30,105,5,25,0.222222222222222,0.166666666666667,0.0555555555555556,0.165934065934066,0.11037851037851,165
"13",NA,0,NA,0,0,NA,NA,NA,1,1,0,1,NA,NA,27,14,433,5,97,0.0313199105145414,0.0490196078431373,-0.0176996973285959,-0.0168141592920354,0.000885538036560468,549
"14",NA,0,NA,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,28,1245,3072,132,562,0.288394718554552,0.190201729106628,0.0981929894479235,0.0760279357019219,0.0221650537460016,5011
"15",NA,1,NA,0,1,0,NA,NA,0,1,1,NA,NA,NA,30,135,113,18,20,0.544354838709677,0.473684210526316,0.0706706281833616,0.111227922624054,0.0405572944406922,286
"16",NA,1,1,0,0,0,NA,NA,NA,1,0,1,NA,NA,32,36,191,0,27,0.158590308370044,0,0.158590308370044,0.2,0.0414096916299559,254
"17",NA,1,0,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,33,115,190,12,30,0.377049180327869,0.285714285714286,0.0913348946135831,0.208163265306122,0.116828370692539,347
