"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,1,1,1,NA,NA,NA,NA,0,1,1,NA,NA,4,27,769,3,134,0.0339195979899497,0.0218978102189781,0.0120217877709716,-0.0379053461875548,0.0499271339585264,933
"2",NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,NA,NA,5,276,56931,52,10336,0.0048245844040065,0.00500577589526377,-0.000181191491257263,0.000559700888558612,0.000740892379815875,67595
"3",0,NA,NA,0,NA,NA,NA,0,1,0,NA,1,NA,NA,9,41,5803,2,1031,0.00701574264202601,0.00193610842207164,0.00507963421995437,0.00335412662610649,0.00172550759384789,6877
"4",0,NA,NA,0,NA,0,NA,1,1,0,NA,1,NA,NA,10,6,435,1,77,0.0136054421768707,0.0128205128205128,0.000784929356357928,0.0136363636363636,0.0128514342800057,519
"5",1,NA,NA,0,0,NA,NA,NA,1,0,0,1,NA,NA,11,5,816,2,146,0.00609013398294762,0.0135135135135135,-0.00742337953056589,0.0106666666666667,0.0180900461972326,969
"6",NA,NA,1,0,0,NA,NA,NA,0,0,0,1,NA,NA,13,137,1962,15,295,0.065269175797999,0.0483870967741935,0.0168820790238055,0.0297377180135801,0.0128556389897746,2409
"7",NA,NA,1,0,1,NA,NA,NA,0,0,1,1,NA,NA,14,23,242,4,36,0.0867924528301887,0.1,-0.0132075471698113,0.0701754385964912,0.0833829857663026,305
"8",NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,17,58,3471,11,673,0.0164352507792576,0.0160818713450292,0.000353379434228342,0.00411906696156134,0.00376568752733299,4213
"9",NA,NA,1,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,19,662,4813,93,848,0.120913242009132,0.0988310308182784,0.022082211190854,0.0259712771776108,0.00388906598675684,6416
"10",NA,NA,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,20,2219,4410,361,779,0.334741288278775,0.316666666666667,0.0180746216121084,0.0776373924501977,0.0595627708380893,7769
"11",NA,1,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,22,278,477,25,97,0.368211920529801,0.204918032786885,0.163293887742916,0.0953593035266342,0.0679345842162819,877
"12",NA,0,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,24,87,301,13,42,0.224226804123711,0.236363636363636,-0.012136832239925,0.11828123388012,0.130418066120045,443
"13",NA,0,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,25,289,314,25,47,0.479270315091211,0.347222222222222,0.132048092868988,0.265656435940242,0.133608343071254,675
