"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,NA,1,NA,1,NA,0,NA,0,NA,1,NA,NA,4,261,55977,48,9980,0.00464099007788328,0.00478659752692461,-0.000145607449041329,-0.000333321773348176,0.000187714324306846,66266
"2",NA,0,0,0,0,1,NA,0,1,0,0,1,NA,NA,6,30,5905,1,1019,0.0050547598989048,0.000980392156862745,0.00407436774204206,0.00201680867441737,0.00205755906762469,6955
"3",NA,0,1,0,NA,1,NA,0,NA,0,NA,1,NA,NA,7,118,2438,14,408,0.0461658841940532,0.033175355450237,0.0129905287438162,0.0181643154688977,0.00517378672508144,2978
"4",NA,NA,0,NA,0,0,NA,NA,1,0,0,1,NA,NA,9,8,1456,2,244,0.00546448087431694,0.00813008130081301,-0.00266560042649607,0.000668449197860963,0.00333404962435703,1710
"5",NA,NA,1,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,10,64,1194,5,208,0.0508744038155803,0.0234741784037559,0.0274002254118244,0.0415324768270019,0.0141322514151775,1471
"6",0,0,NA,NA,NA,1,NA,0,1,1,NA,NA,NA,NA,14,59,3297,7,649,0.017580452920143,0.0106707317073171,0.00690972121282595,-0.00255781200308937,0.00946753321591532,4012
"7",1,0,NA,NA,0,1,NA,0,1,1,0,1,NA,NA,15,9,243,2,33,0.0357142857142857,0.0571428571428571,-0.0214285714285714,0.0196078431372549,0.0410364145658263,287
"8",NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,16,2886,9391,402,1661,0.235073715076973,0.194861851672322,0.0402118634046513,0.0389735479371564,0.00123831546749489,14340
"9",0,0,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,20,62,156,3,30,0.284403669724771,0.0909090909090909,0.19349457881568,-0.164571428571429,0.358066007387108,251
"10",1,0,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,21,22,125,2,13,0.149659863945578,0.133333333333333,0.0163265306122449,0.046969696969697,0.0306431663574521,162
"11",NA,1,1,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,22,56,230,5,38,0.195804195804196,0.116279069767442,0.0795251260367539,0.144907908992416,0.0653827829556621,329
"12",0,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,24,433,442,41,93,0.494857142857143,0.305970149253731,0.188886993603412,0.165978418858953,0.022908574744459,1009
"13",1,NA,0,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,25,84,123,8,14,0.405797101449275,0.363636363636364,0.0421607378129117,0.334665099882491,0.292504362069579,229
