"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,NA,4,155,43566,30,7774,0.00354520710871206,0.00384418247052793,-0.000298975361815874,-0.000300146055331427,1.1706935155527e-06,51525
"2",0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,NA,5,265,20746,38,3694,0.0126124411022798,0.0101822079314041,0.00243023317087569,0.00343316511746735,0.00100293194659167,24743
"3",NA,0,NA,NA,NA,0,NA,1,1,0,NA,1,NA,NA,8,12,1585,3,292,0.00751408891671885,0.0101694915254237,-0.00265540260870488,0.00164505095751515,0.00430045356622003,1892
"4",NA,1,NA,NA,0,0,NA,1,1,0,0,1,NA,NA,9,1,186,0,28,0.0053475935828877,0,0.0053475935828877,0.0132743362831858,0.00792674270029814,215
"5",NA,NA,1,1,NA,0,NA,1,0,0,NA,1,NA,NA,11,15,477,0,81,0.0304878048780488,0,0.0304878048780488,0.0236702127659574,0.00681759211209134,573
"6",NA,NA,1,0,NA,0,NA,1,0,0,NA,1,NA,NA,12,46,424,4,71,0.0978723404255319,0.0533333333333333,0.0445390070921986,0.0761603375527426,0.031621330460544,545
"7",NA,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15,1820,9626,290,1768,0.159007513541849,0.140913508260447,0.0180940052814016,0.02640054838529,0.00830654310388837,13504
"8",NA,0,NA,0,1,NA,1,NA,0,1,1,NA,NA,NA,18,58,80,7,12,0.420289855072464,0.368421052631579,0.0518688024408848,-0.214285714285714,0.266154516726599,157
"9",NA,0,NA,0,NA,NA,1,NA,NA,1,0,NA,NA,NA,19,146,805,19,167,0.153522607781283,0.102150537634409,0.0513720701468742,0.0110603329900446,0.0403117371568296,1137
"10",NA,0,NA,0,0,NA,0,NA,1,1,0,1,NA,NA,21,15,253,3,44,0.0559701492537313,0.0638297872340425,-0.0078596379803112,-0.0322128851540616,0.0243532471737504,315
"11",NA,0,NA,0,1,NA,0,NA,0,1,1,NA,NA,NA,23,469,546,55,84,0.462068965517241,0.39568345323741,0.0663855122798313,0.0701559608776104,0.00377044859777909,1154
"12",NA,0,1,0,0,NA,0,NA,0,1,0,1,NA,NA,25,204,1044,20,197,0.163461538461538,0.0921658986175115,0.0712956398440269,0.0583228657581867,0.0129727740858402,1465
"13",NA,0,0,0,NA,NA,0,NA,0,1,0,NA,NA,NA,26,647,1021,67,160,0.3878896882494,0.295154185022026,0.092735503227374,0.13489843024011,0.0421629270127363,1895
"14",NA,1,NA,NA,1,0,NA,NA,0,1,1,1,NA,NA,29,47,51,6,7,0.479591836734694,0.461538461538462,0.0180533751962323,-0.00952380952380949,0.0275771847200418,111
"15",NA,1,0,NA,0,0,NA,NA,NA,1,0,1,NA,NA,31,109,194,8,35,0.35973597359736,0.186046511627907,0.173689461969453,0.14215928765768,0.0315301743117728,346
"16",NA,1,1,NA,0,0,NA,NA,NA,1,0,1,NA,NA,32,40,175,0,25,0.186046511627907,0,0.186046511627907,0.164658634538153,0.0213878770897544,240
"17",NA,1,NA,NA,1,0,NA,NA,0,1,NA,0,NA,NA,33,93,61,15,12,0.603896103896104,0.555555555555556,0.0483405483405484,0.329617834394904,0.281277286054356,181
