"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,1,NA,NA,1,NA,0,0,0,NA,1,NA,NA,5,96,3972,14,716,0.023598820058997,0.0191780821917808,0.00442073786721623,-0.0108910649801718,0.015311802847388,4798
"2",1,NA,NA,1,NA,NA,NA,0,1,0,NA,1,NA,NA,7,54,38675,10,6922,0.00139430400991505,0.00144258511252164,-4.8281102606588e-05,-0.000187320875576707,0.000139039772970119,45661
"3",1,0,NA,0,0,1,NA,0,1,0,0,1,NA,NA,8,7,737,2,121,0.00940860215053763,0.016260162601626,-0.00685156045108838,0.006765899864682,0.0136174603157704,867
"4",0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,NA,9,275,20839,39,3721,0.0130245334848915,0.0103723404255319,0.00265219305935963,0.00321263875623302,0.000560445696873392,24874
"5",NA,NA,NA,1,NA,0,NA,1,1,0,NA,1,NA,NA,12,8,1309,2,241,0.00607441154138193,0.00823045267489712,-0.00215604113351519,-0.00179421319029992,0.000361827943215274,1560
"6",NA,NA,0,0,0,0,NA,1,1,0,0,1,NA,NA,14,2,309,0,55,0.00643086816720257,0,0.00643086816720257,0.00263852242744063,0.00379234573976194,366
"7",NA,NA,1,0,0,0,NA,1,1,0,0,1,NA,NA,15,5,139,1,18,0.0347222222222222,0.0526315789473684,-0.0179093567251462,0.037037037037037,0.0549463937621832,163
"8",NA,NA,1,NA,NA,0,NA,1,0,0,NA,1,NA,NA,16,56,906,2,129,0.0582120582120582,0.0152671755725191,0.0429448826395391,0.0456728299948639,0.00272794735532475,1093
"9",NA,NA,1,1,0,NA,NA,NA,0,1,0,1,NA,NA,21,323,2939,50,582,0.0990190067443286,0.0791139240506329,0.0199050826936957,-0.0148611374628996,0.0347662201565953,3894
"10",0,NA,1,1,0,NA,1,NA,1,1,0,1,NA,NA,23,19,1852,2,372,0.0101549973276323,0.0053475935828877,0.00480740374474458,0.000185299840142122,0.00462210390460246,2245
"11",1,0,1,1,0,NA,NA,NA,1,1,0,1,NA,NA,24,7,145,0,16,0.0460526315789474,0,0.0460526315789474,0.0291970802919708,0.0168555512869766,168
"12",NA,0,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,25,81,349,12,50,0.188372093023256,0.193548387096774,-0.00517629407351838,0.0858447102582527,0.0910210043317711,492
"13",NA,NA,0,1,1,NA,NA,NA,NA,1,NA,0,NA,NA,27,190,192,29,33,0.49738219895288,0.467741935483871,0.0296402634690087,-0.0775623268698061,0.107202590338815,444
"14",NA,NA,0,1,0,NA,NA,NA,1,1,0,1,NA,NA,29,20,1194,2,207,0.0164744645799012,0.00956937799043062,0.00690508658947053,0.00744015663487652,0.000535070045405994,1423
"15",NA,NA,0,1,NA,NA,NA,NA,0,1,NA,1,NA,NA,30,1171,2944,187,541,0.28456865127582,0.256868131868132,0.0277005194076883,0.0553345382598397,0.0276340188521514,4843
"16",NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,0,NA,NA,32,377,378,46,60,0.499337748344371,0.433962264150943,0.0653754841934274,0.06886686298451,0.00349137879108258,861
"17",NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,33,1464,3922,169,692,0.271815818789454,0.196283391405343,0.0755324273841115,0.0964272845885805,0.020894857204469,6247
