"","f0","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","treatment","visit","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",NA,0,1,1,1,NA,NA,NA,0,0,1,1,NA,NA,5,25,698,4,124,0.0345781466113416,0.03125,0.00332814661134163,-0.0391577354168371,0.0424858820281787,851
"2",NA,0,1,1,1,1,NA,0,1,0,1,1,NA,NA,6,0,80,0,12,0,0,0,0,0,92
"3",NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,NA,NA,7,269,56817,45,10324,0.00471218862768455,0.00433985919567943,0.000372329432005117,-2.37166654918838e-06,0.000374701098554305,67455
"4",NA,1,0,0,0,0,NA,NA,1,0,0,1,NA,NA,10,1,170,0,20,0.00584795321637427,0,0.00584795321637427,0,0.00584795321637427,191
"5",NA,0,0,0,0,NA,NA,NA,1,0,0,1,NA,NA,11,22,6103,1,1065,0.00359183673469388,0.000938086303939962,0.00265375043075392,0.00358605585699275,0.000932305426238831,7191
"6",0,NA,1,0,NA,NA,1,NA,NA,0,NA,1,NA,NA,14,15,451,1,84,0.0321888412017167,0.0117647058823529,0.0204241353193638,-0.0225885225885226,0.0430126579078864,551
"7",1,NA,1,0,NA,NA,1,NA,NA,0,NA,1,NA,NA,15,2,127,1,27,0.0155038759689922,0.0357142857142857,-0.0202104097452935,0.0373134328358209,0.0575238425811144,157
"8",NA,NA,1,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,16,156,2433,16,402,0.0602549246813441,0.0382775119617225,0.0219774127196217,0.0307823303337955,0.00880491761417386,3007
"9",NA,0,NA,1,1,1,NA,0,NA,1,NA,NA,NA,NA,20,465,733,68,126,0.388146911519199,0.350515463917526,0.0376314476016729,-0.0587900779896014,0.0964215255912743,1392
"10",NA,NA,1,1,0,NA,NA,0,NA,1,0,1,NA,NA,22,325,4791,53,929,0.0635261923377639,0.0539714867617108,0.00955470557605308,7.547318526957e-05,0.00947923239078351,6098
"11",NA,0,0,1,0,1,NA,0,1,1,0,1,NA,NA,24,19,1125,1,219,0.0166083916083916,0.00454545454545455,0.0120629370629371,0.001230555507915,0.0108323815550221,1364
"12",NA,0,0,1,0,1,NA,0,0,1,0,1,NA,NA,25,875,2645,137,494,0.248579545454545,0.217115689381933,0.031463856072612,0.054006331199269,0.0225424751266569,4151
"13",NA,NA,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,26,1241,3464,154,617,0.263761955366631,0.199740596627756,0.064021358738875,0.0633704423461758,0.000650916392699263,5476
"14",NA,NA,NA,NA,1,0,NA,1,0,1,NA,0,NA,NA,28,162,112,13,19,0.591240875912409,0.40625,0.184990875912409,0.0207282913165266,0.164262584595882,306
"15",NA,NA,1,NA,NA,0,NA,1,NA,1,NA,1,NA,NA,30,140,501,17,82,0.218408736349454,0.171717171717172,0.0466915646322823,0.1305228398459,0.0838312752136176,740
"16",NA,1,0,NA,NA,0,NA,1,NA,1,NA,1,NA,NA,32,136,213,17,46,0.389684813753582,0.26984126984127,0.119843543912312,0.166180758017493,0.0463372141051809,412
"17",NA,0,0,NA,NA,0,NA,1,NA,1,NA,1,NA,NA,33,217,282,20,45,0.434869739478958,0.307692307692308,0.12717743178665,0.297963159251726,0.170785727465076,564
