"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",5056,1243,3813,0.237233675116187,NA,NA,NA,NA,NA,5056,433,812,401,3488,0.244679824982625,0.00744614986643827,5134
"63","1121",4912,658,4254,0.229541157758905,NA,NA,NA,NA,NA,4912,278,349,908,3482,0.236547467239231,0.00700630948032555,5017
"107","11221",6178,2456,3722,0.336182693973854,NA,NA,NA,NA,NA,6178,1636,687,1353,2551,0.357694107570058,0.0215114135962047,6227
"142","11222",903,591,312,0.222211375764675,NA,NA,NA,NA,NA,903,373,182,122,223,0.318448883666275,0.0962375079015998,900
"155","121111",2954,273,2681,0.0383324247554013,NA,NA,NA,NA,NA,2954,14,216,61,2557,0.0375693360348092,0.000763088720592081,2848
"169","1211121",250,11,239,0.0867249904906809,NA,NA,NA,NA,NA,250,0,14,1,210,-0.004739336492891,0.0914643269835719,225
"170","1211122",836,47,789,0,NA,NA,NA,NA,NA,836,1,29,0,717,0.0333333333333333,0.0333333333333333,747
"171","12112",357,48,309,-0.0119336569579288,NA,NA,NA,NA,NA,357,2,36,15,297,0.00455465587044534,0.0164883128283741,350
"178","1212",222,19,203,0.309307752138968,NA,NA,NA,NA,NA,222,3,19,17,188,0.0534368070953437,0.255870945043624,227
"181","122",2753,851,1902,0.13008818721341,NA,NA,NA,NA,NA,2753,133,696,106,1811,0.105139526791271,0.0249486604221393,2746
