"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",5035,1235,3800,0.244838056680162,NA,NA,NA,NA,NA,5035,420,833,383,3519,0.23704073831211,0.00779731836805156,5155
"64","11211",1786,293,1493,0.292923289343443,NA,NA,NA,NA,NA,1786,133,178,345,1101,0.189063521500714,0.10385976784273,1757
"91","11212",3180,348,2832,0.170075978959673,NA,NA,NA,NA,NA,3180,154,179,555,2318,0.269284599601342,0.099208620641669,3206
"104","1122",7145,2959,4186,0.333514473242936,NA,NA,NA,NA,NA,7145,2039,927,1436,2661,0.336957489576357,0.00344301633342114,7063
"154","12111",1848,369,1479,0.0854125782637137,NA,NA,NA,NA,NA,1848,36,332,36,1518,0.0746600637904986,0.0107525144732151,1922
"168","121121",1849,129,1720,0.0788759689922481,NA,NA,NA,NA,NA,1849,16,130,60,1660,0.0747053201656578,0.00417064882659021,1866
"175","121122",1430,374,1056,0.183767825311943,NA,NA,NA,NA,NA,1430,88,284,84,933,0.153963269578457,0.0298045557334864,1389
"186","1212",531,198,333,0.0170625170625171,NA,NA,NA,NA,NA,531,16,138,25,255,0.0146103896103896,0.00245212745212744,434
"205","12211",214,26,188,0.0769230769230769,NA,NA,NA,NA,NA,214,2,22,2,207,0.0737639553429027,0.00315912158017422,233
"210","12212",183,32,151,-0.00662251655629139,NA,NA,NA,NA,NA,183,0,27,0,160,0,0.00662251655629139,187
"213","1222",1220,94,1126,-0.00266429840142096,NA,NA,NA,NA,NA,1220,4,95,3,1107,0.0377013377013377,0.0403656361027587,1209
