"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",5105,1257,3848,0.218362202849076,NA,NA,NA,NA,NA,5105,445,786,376,3478,0.263933744130293,0.0455715412812163,5085
"63","1121",4988,642,4346,0.238112748787513,NA,NA,NA,NA,NA,4988,278,365,879,3419,0.227834639714519,0.0102781090729938,4941
"108","1122",7075,2980,4095,0.321168801370144,NA,NA,NA,NA,NA,7075,2064,881,1472,2716,0.349368476186306,0.0281996748161628,7133
"153","1211",2702,417,2285,0.0823386804779371,NA,NA,NA,NA,NA,2702,40,403,34,2255,0.0754398058434342,0.00689887463450298,2732
"173","12121",3287,501,2786,0.164844754138528,NA,NA,NA,NA,NA,3287,103,417,114,2613,0.156272742658881,0.00857201147964715,3247
"192","12122",653,57,596,0,NA,NA,NA,NA,NA,653,0,47,3,578,-0.00516351118760757,0.00516351118760757,628
"193","122",611,204,407,0.0120561738208797,NA,NA,NA,NA,NA,611,22,201,25,407,0.040784338149809,0.0287281643289293,655
