"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",5073,1227,3846,0.250344243598595,NA,NA,NA,NA,NA,5073,411,850,363,3493,0.231792796009227,0.0185514475893681,5117
"73","1121",4945,641,4304,0.229269728409954,NA,NA,NA,NA,NA,4945,284,360,887,3453,0.236615908635544,0.00734618022558978,4984
"114","1122",7089,2995,4094,0.345777321427261,NA,NA,NA,NA,NA,7089,1996,934,1494,2695,0.324580304177119,0.0211970172501416,7119
"164","12111",348,44,304,-0.0131578947368421,NA,NA,NA,NA,NA,348,3,36,5,335,0.0622171945701357,0.0753750893069779,379
"169","1211211",1014,101,913,0.00118204591543492,NA,NA,NA,NA,NA,1014,6,112,24,915,0.0252883521958087,0.0241063062803738,1057
"175","12112121",144,7,137,0.142857142857143,NA,NA,NA,NA,NA,144,0,6,1,150,-0.00662251655629139,0.149479659413434,157
"176","12112122",358,22,336,0,NA,NA,NA,NA,NA,358,1,16,0,354,0.0588235294117647,0.0588235294117647,371
"177","121122",42,5,37,0.145945945945946,NA,NA,NA,NA,NA,42,0,6,0,33,0,0.145945945945946,39
"178","1212",1055,356,699,0.0839039719663725,NA,NA,NA,NA,NA,1055,46,312,16,664,0.104962208347026,0.0210582363806535,1038
"194","1221",3632,609,3023,0.140147212911195,NA,NA,NA,NA,NA,3632,120,458,151,2728,0.155163689814442,0.0150164769032472,3457
"221","1222",721,68,653,0,NA,NA,NA,NA,NA,721,0,78,3,622,-0.0048,0.0048,703
