"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",5070,1253,3817,0.252138697359505,NA,NA,NA,NA,NA,5070,400,835,367,3518,0.229420745210219,0.0227179521492857,5120
"69","1121",4968,641,4327,0.234657253172493,NA,NA,NA,NA,NA,4968,278,366,865,3452,0.231306390882788,0.00335086228970591,4961
"110","1122",7190,2976,4214,0.337182031477257,NA,NA,NA,NA,NA,7190,2046,903,1468,2601,0.333017903024306,0.00416412845295139,7018
"153","1211",1907,152,1755,0.00637276953066427,NA,NA,NA,NA,NA,1907,10,203,18,1771,0.0368868699433418,0.0305141004126775,2002
"166","1212",1077,373,704,0.0873522422617597,NA,NA,NA,NA,NA,1077,43,298,16,659,0.102396003041164,0.0150437607794046,1016
"183","1221111",1661,133,1528,0.0552198559225288,NA,NA,NA,NA,NA,1661,11,109,49,1560,0.06121296871763,0.00599311279510116,1729
"188","1221112",169,10,159,0.437106918238994,NA,NA,NA,NA,NA,169,3,9,10,134,0.180555555555556,0.256551362683438,156
"189","122112",1408,377,1031,0.15919235786121,NA,NA,NA,NA,NA,1408,94,275,79,963,0.178926808461943,0.0197344506007329,1411
"200","12212",623,51,572,-0.0034965034965035,NA,NA,NA,NA,NA,623,0,53,1,604,-0.00165289256198347,0.00184361093452003,658
"205","1222",348,116,232,0.0043103448275862,NA,NA,NA,NA,NA,348,14,78,28,230,0.0436467812605325,0.0393364364329463,350
