"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",4830,1139,3691,0.227051111916155,NA,NA,NA,NA,NA,4830,358,726,344,3264,0.234914621873491,0.00786350995733637,4692
"60","11121",133,72,61,0.194672131147541,NA,NA,NA,NA,NA,133,34,44,16,62,0.230769230769231,0.0360970996216898,156
"65","11122",197,52,145,0.53262599469496,NA,NA,NA,NA,NA,197,24,39,17,102,0.238095238095238,0.294530756599722,182
"71","1121",4971,621,4350,0.241459270364818,NA,NA,NA,NA,NA,4971,286,378,883,3411,0.225087120723228,0.0163721496415893,4958
"108","1122",7008,2919,4089,0.342396075802601,NA,NA,NA,NA,NA,7008,2061,945,1499,2695,0.328213387245538,0.0141826885570632,7200
"158","12111",1791,139,1652,0.00705488877663003,NA,NA,NA,NA,NA,1791,10,170,23,1598,0.0413667831928165,0.0343118944161865,1801
"167","12112",954,264,690,0.091897233201581,NA,NA,NA,NA,NA,954,39,238,14,597,0.117880966870905,0.0259837336693236,888
"178","121211",442,48,394,0.0325719120135364,NA,NA,NA,NA,NA,442,6,41,13,330,0.0897586998325166,0.0571867878189802,390
"187","12121211",1469,108,1361,0.0502694097477345,NA,NA,NA,NA,NA,1469,12,106,34,1265,0.0755209352696338,0.0252515255218992,1417
"192","12121212",1120,298,822,0.186866212707588,NA,NA,NA,NA,NA,1120,67,216,70,767,0.153117097491884,0.0337491152157045,1120
"195","1212122",307,69,238,0.292351723298015,NA,NA,NA,NA,NA,307,16,34,18,201,0.237808219178082,0.0545435041199327,269
"200","12122",589,50,539,0,NA,NA,NA,NA,NA,589,0,54,3,635,-0.00470219435736677,0.00470219435736677,692
"202","1221",566,176,390,0.0231351981351981,NA,NA,NA,NA,NA,566,22,182,27,382,0.0418284673282516,0.0186932691930535,613
"215","1222",44,27,17,-0.257080610021787,NA,NA,NA,NA,NA,44,4,16,4,19,0.0260869565217391,0.283167566543526,43
