"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",5082,1245,3837,0.2425903771458,NA,NA,NA,NA,NA,5082,416,827,369,3496,0.239201989094947,0.00338838805085254,5108
"63","1121",5001,670,4331,0.223308187761263,NA,NA,NA,NA,NA,5001,276,339,886,3427,0.243355029886956,0.0200468421256925,4928
"100","1122",7030,2910,4120,0.329076168551697,NA,NA,NA,NA,NA,7030,2091,924,1467,2696,0.341142235017562,0.0120660664658652,7178
"146","12111",1932,384,1548,0.0809108527131783,NA,NA,NA,NA,NA,1932,36,317,34,1451,0.0790873799372383,0.00182347277594001,1838
"161","1211211",1681,121,1560,0.0379105742742106,NA,NA,NA,NA,NA,1681,14,118,47,1530,0.0762571818373974,0.0383466075631868,1709
"166","1211212",169,11,158,0.397583429228999,NA,NA,NA,NA,NA,169,3,8,11,134,0.196865203761755,0.200718225467243,156
"167","121122",1428,368,1060,0.168867924528302,NA,NA,NA,NA,NA,1428,92,286,75,938,0.169348731046658,0.000480806518356081,1391
"178","1212",479,159,320,0.0162932389937107,NA,NA,NA,NA,NA,479,22,171,29,264,0.0150135280906824,0.00127971090302828,486
"194","1221",893,74,819,0.0393195393195393,NA,NA,NA,NA,NA,893,5,77,5,842,0.055072422034728,0.0157528827151887,929
"203","1222",726,72,654,-0.00305810397553517,NA,NA,NA,NA,NA,726,0,74,1,623,-0.0016025641025641,0.00145553987297107,698
