"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,40,75,66,185,0.347826086956522,0.262948207171315,0.084877879785207,-0.116666666666667,0.201544546451874,366
"2",1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,52,341,145,738,0.132315521628499,0.164212910532276,-0.0318973889037776,-0.0345369791284224,0.00263959022464474,1276
"3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,748,4593,1671,8962,0.140048680022468,0.15715226182639,-0.0171035818039219,-0.018437536033801,0.00133395422987917,15974
"4",0,1,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,0,0,1,0,0,0,0,NA,0,NA,NA,NA,NA,10,3,21,10,60,0.125,0.142857142857143,-0.0178571428571428,-0.166666666666667,0.148809523809524,94
"5",0,1,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,1,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,11,3,34,6,33,0.0810810810810811,0.153846153846154,-0.0727650727650728,-0.0352564102564103,0.0375086625086625,76
"6",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,12,119,610,230,1310,0.16323731138546,0.149350649350649,0.0138866620348102,0.0207219251336898,0.00683526309887966,2269
"7",0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,1,16,18,53,16,96,0.253521126760563,0.142857142857143,0.110663983903421,-0.117788461538462,0.228452445441882,183
"8",0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,18,6,34,5,65,0.15,0.0714285714285714,0.0785714285714286,-0.0961538461538462,0.174725274725275,110
"9",0,1,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,1,0,0,0,0,0,0,NA,NA,0,0,1,0,19,3,28,8,71,0.0967741935483871,0.10126582278481,-0.00449162923642303,0.0908677873693775,0.0953594166058006,110
"10",0,1,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,0,0,1,NA,NA,0,21,5,32,12,80,0.135135135135135,0.130434782608696,0.00470035252643949,-0.00691699604743083,0.0116173485738703,129
"11",0,1,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,NA,NA,0,NA,NA,NA,0,0,0,1,0,0,1,22,9,34,10,81,0.209302325581395,0.10989010989011,0.0994122156912855,0.143212177694936,0.0437999620036509,134
"12",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,640,3157,940,6536,0.168554121675007,0.12573568753344,0.0428184341415662,0.0466701335164285,0.00385169937486229,11273
