"","mens","womens","newbie","segment","visit","conversion","recency_1","recency_10","recency_11","recency_12","recency_2","recency_3","recency_4","recency_5","recency_6","recency_7","recency_8","recency_9","recency_1.1","recency_2.1","recency_3.1","recency_4.1","recency_5.1","recency_6.1","recency_7.1","zip_code_Rural","zip_code_Surburban","zip_code_Urban","channel_Multichannel","channel_Phone","channel_Web","leaf_index","n11","n12","n21","n22","pi_1","pi_2","phi","causal_effect_model","bias","N"
"1",1,0,NA,NA,NA,NA,1,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,5,11,57,27,118,0.161764705882353,0.186206896551724,-0.0244421906693712,-0.184722222222222,0.160280031552851,213
"2",1,0,NA,NA,NA,NA,1,0,NA,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,NA,6,5,24,9,50,0.172413793103448,0.152542372881356,0.0198714202220923,-0.0094876660341556,0.0293590862562479,88
"3",1,0,NA,NA,NA,NA,1,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,8,73,442,187,804,0.141747572815534,0.188698284561049,-0.0469507117455155,-0.0408856680043121,0.0060650437412034,1506
"4",1,0,1,NA,NA,0,1,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,9,5,23,5,39,0.178571428571429,0.113636363636364,0.0649350649350649,0.135714285714286,0.0707792207792208,72
"5",1,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,12,7,47,18,116,0.12962962962963,0.134328358208955,-0.0046987285793256,-0.0934472208057114,0.0887484922263858,188
"6",1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,15,167,1167,397,2198,0.125187406296852,0.152986512524085,-0.0277991062272332,-0.0388224834223214,0.0110233771950882,3929
"7",1,0,0,NA,NA,0,0,0,NA,0,NA,1,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,19,4,20,9,46,0.166666666666667,0.163636363636364,0.00303030303030302,-0.245614035087719,0.248644338118022,79
"8",1,0,0,NA,NA,0,0,0,NA,0,NA,1,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,20,7,36,14,40,0.162790697674419,0.259259259259259,-0.0964685615848406,-0.0325396825396825,0.0639288790451581,97
"9",1,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,0,NA,NA,21,78,568,215,1165,0.120743034055728,0.155797101449275,-0.0350540673935478,-0.0187473692518152,0.0163066981417326,2026
"10",1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,1,0,23,9,58,22,100,0.134328358208955,0.180327868852459,-0.0459995106435038,0.00241448692152918,0.048413997565033,189
