,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.092246,71,694,72,674,0.09281045751633987,0.09651474530831099,-0.0037042877919711142,0.09595028779197111,1511
1,0.0,1.0,1.0,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,0.154383,167,1039,89,1164,0.1384742951907131,0.0710295291300878,0.06744476606062531,0.08693823393937468,2459
2,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.151899,16,107,15,146,0.13008130081300814,0.09316770186335403,0.03691359894965411,0.1149854010503459,284
3,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.125828,27,133,11,133,0.16875,0.0763888888888889,0.09236111111111112,0.03346688888888888,304
4,0.0,1.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.20959,295,1108,178,1151,0.21026372059871704,0.13393528969149737,0.07632843090721966,0.13326156909278034,2732
5,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,1.0,,,,0.163265,18,108,11,120,0.14285714285714285,0.08396946564885496,0.058887677208287886,0.10437732279171211,257
6,1.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,1.0,0.0,,,,0.210526,34,161,19,149,0.17435897435897435,0.1130952380952381,0.061263736263736254,0.14926226373626372,363
7,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,0.0,,,,0.173684,16,178,28,193,0.08247422680412371,0.12669683257918551,-0.044222605775061805,0.21790660577506182,415
8,1.0,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.28777,30,125,13,110,0.1935483870967742,0.10569105691056911,0.08785733018620508,0.19991266981379496,278
9,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.190909,21,97,25,100,0.17796610169491525,0.2,-0.02203389830508476,0.21294289830508475,243
10,1.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,,,0.0,,1.0,0.0,0.0,0.125,10,142,11,122,0.06578947368421052,0.08270676691729323,-0.016917293233082706,0.14191729323308272,285
11,,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,0.0,,,0.0,0.243523,38,147,30,168,0.20540540540540542,0.15151515151515152,0.0538902538902539,0.1896327461097461,383
12,0.0,1.0,1.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.132,43,190,20,211,0.18454935622317598,0.08658008658008658,0.0979692696430894,0.03403073035691061,464
13,1.0,1.0,1.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,0.333333,31,84,24,97,0.26956521739130435,0.19834710743801653,0.07121810995328781,0.2621148900467122,236
14,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,0.0,0.0,,,,,0.0,1.0,0.0,0.119658,14,77,11,99,0.15384615384615385,0.1,0.05384615384615385,0.06581184615384615,201
15,0.0,1.0,,0.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.155172,25,109,16,125,0.1865671641791045,0.11347517730496454,0.07309198687413995,0.08208001312586005,275
16,,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,1.0,0.15873,20,97,18,113,0.17094017094017094,0.13740458015267176,0.03353559078749918,0.12519440921250083,248
17,1.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.12,13,90,12,86,0.1262135922330097,0.12244897959183673,0.0037646126411729763,0.11623538735882702,201
18,,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.260606,42,140,36,141,0.23076923076923078,0.2033898305084746,0.027379400260756193,0.2332265997392438,359
19,1.0,1.0,0.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.237762,25,100,27,108,0.2,0.2,0.0,0.237762,260
20,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,0.208,23,115,9,107,0.16666666666666666,0.07758620689655173,0.08908045977011493,0.11891954022988506,254
21,1.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,0.133663,72,555,67,542,0.11483253588516747,0.11001642036124795,0.004816115523919515,0.1288468844760805,1236
22,,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,1.0,,,0.0,0.204724,23,112,17,102,0.17037037037037037,0.14285714285714285,0.027513227513227517,0.17721077248677247,254
23,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.072464,27,186,29,200,0.1267605633802817,0.12663755458515283,0.00012300879512885943,0.07234099120487114,442
24,0.0,1.0,,0.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.178082,21,133,19,109,0.13636363636363635,0.1484375,-0.012073863636363646,0.19015586363636364,282
25,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,0.153846,28,163,24,159,0.14659685863874344,0.13114754098360656,0.01544931765513688,0.13839668234486313,374
26,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.129897,70,415,31,446,0.14432989690721648,0.0649895178197065,0.07934037908750999,0.050556620912490025,962
