,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,1.0,1.0,,,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,1.0,0.0,0.0,,,,0.385246,43,66,32,91,0.3944954128440367,0.2601626016260163,0.13433281121802043,0.25091318878197955,232
1,1.0,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,0.193048,297,1306,173,1457,0.1852776044915783,0.10613496932515337,0.07914263516642492,0.11390536483357508,3233
2,,,1.0,,,,0.0,,0.0,,,0.0,,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.1321,88,632,44,678,0.12222222222222222,0.060941828254847646,0.06128039396737457,0.07081960603262542,1442
3,0.0,1.0,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,0.0,,1.0,0.0,0.0,,,,0.241888,76,260,47,276,0.2261904761904762,0.14551083591331268,0.08067964027716351,0.16120835972283648,659
4,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,1.0,,,,0.091503,14,115,6,134,0.10852713178294573,0.04285714285714286,0.06566998892580288,0.025833011074197124,269
5,,,1.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,0.218978,63,241,42,241,0.20723684210526316,0.14840989399293286,0.0588269481123303,0.1601510518876697,587
6,1.0,1.0,,,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,,,,,,0.330871,208,466,118,576,0.3086053412462908,0.17002881844380405,0.13857652280248675,0.19229447719751327,1368
7,1.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,0.127907,30,204,23,222,0.1282051282051282,0.09387755102040816,0.03432757718472003,0.09357942281527996,479
8,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.132841,36,230,21,229,0.13533834586466165,0.084,0.05133834586466164,0.08150265413533835,516
9,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,,0.244604,23,114,11,134,0.1678832116788321,0.07586206896551724,0.09202114271331487,0.15258285728668514,282
