,mens,womens,newbie,conversion,recency_1,recency_10,recency_11,recency_12,recency_2,recency_3,recency_4,recency_5,recency_6,recency_7,recency_8,recency_9,recency_1.1,recency_2.1,recency_3.1,recency_4.1,recency_5.1,recency_6.1,recency_7.1,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,causal_effect,n11,n12,n21,n22,pi_1,pi_2,phi,bias,N
0,,1.0,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,0.251864,240,956,158,1042,0.20066889632107024,0.13166666666666665,0.06900222965440359,0.1828617703455964,2396
1,1.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.186975,112,357,56,382,0.23880597014925373,0.1278538812785388,0.11095208887071492,0.07602291112928508,907
2,,,,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.142857,62,246,32,323,0.2012987012987013,0.09014084507042254,0.11115785622827877,0.03169914377172124,663
3,0.0,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.17284,35,129,19,153,0.21341463414634146,0.11046511627906977,0.10294951786727169,0.0698904821327283,336
4,0.0,1.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,0.0,1.0,0.0,0.0,,,0.156028,151,641,80,731,0.19065656565656566,0.09864364981504316,0.0920129158415225,0.0640150841584775,1603
5,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,0.196581,24,85,12,86,0.22018348623853212,0.12244897959183673,0.09773450664669539,0.09884649335330462,207
6,1.0,0.0,1.0,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,1.0,0.0,0.0,,,,0.160377,36,171,27,194,0.17391304347826086,0.12217194570135746,0.0517410977769034,0.10863590222309659,428
7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,0.150706,110,564,59,619,0.1632047477744807,0.08702064896755163,0.07618409880692908,0.07452190119307092,1352
8,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,1.0,0.0,0.0,,,0.176471,10,71,5,99,0.12345679012345678,0.04807692307692308,0.07537986704653371,0.10109113295346628,185
9,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,,,0.129944,24,160,17,194,0.13043478260869565,0.08056872037914692,0.04986606222954873,0.08007793777045127,395
10,1.0,0.0,1.0,,,0.0,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.146341,17,100,11,105,0.1452991452991453,0.09482758620689655,0.05047155909224876,0.09586944090775124,233
11,1.0,0.0,,,,0.0,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.123596,69,416,38,442,0.1422680412371134,0.07916666666666666,0.06310137457044673,0.060494625429553264,965
12,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.206349,43,102,22,112,0.296551724137931,0.16417910447761194,0.13237261966031907,0.07397638033968093,279
13,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.144737,14,103,15,137,0.11965811965811966,0.09868421052631579,0.020973909131803872,0.12376309086819613,269
14,,1.0,,,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,1.0,0.0,0.0,0.304348,44,167,41,203,0.20853080568720378,0.1680327868852459,0.040498018801957886,0.26384998119804215,455
15,,1.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.167488,57,171,19,192,0.25,0.09004739336492891,0.1599526066350711,0.007535393364928894,439
16,1.0,0.0,1.0,,,,,0.0,0.0,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,,,,0.136485,151,915,79,1004,0.14165103189493433,0.0729455216989843,0.06870551019595003,0.06777948980404996,2149
17,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,1.0,0.169355,25,108,12,118,0.18796992481203006,0.09230769230769231,0.09566223250433775,0.07369276749566225,263
18,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,1.0,0.132576,51,248,19,231,0.1705685618729097,0.076,0.0945685618729097,0.0380074381270903,549
19,1.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,,,,,0.233859,169,565,91,600,0.23024523160762944,0.1316931982633864,0.09855203334424303,0.13530696665575698,1425
20,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.209581,33,153,23,157,0.1774193548387097,0.12777777777777777,0.04964157706093192,0.15993942293906807,366
21,1.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.178571,38,151,30,165,0.20105820105820105,0.15384615384615385,0.04721204721204719,0.13135895278795282,384
22,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.160714,31,116,13,137,0.2108843537414966,0.08666666666666667,0.12421768707482994,0.036496312925170055,297
23,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.197802,24,123,12,166,0.16326530612244897,0.06741573033707865,0.09584957578537032,0.10195242421462969,325
24,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,,,,0.18797,30,97,14,112,0.23622047244094488,0.1111111111111111,0.12510936132983377,0.06286063867016622,253
25,1.0,1.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,1.0,0.0,0.0,,,0.319444,88,169,51,227,0.3424124513618677,0.18345323741007194,0.15895921395179577,0.16048478604820424,535
26,,1.0,1.0,,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,0.192982,34,100,12,119,0.2537313432835821,0.0916030534351145,0.1621282898484676,0.030853710151532376,265
27,0.0,1.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.161153,135,825,81,854,0.140625,0.08663101604278074,0.05399398395721926,0.10715901604278073,1895
28,1.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.12766,16,109,2,141,0.128,0.013986013986013986,0.11401398601398602,0.013646013986013977,268
29,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.077419,16,127,6,136,0.11188811188811189,0.04225352112676056,0.06963459076135133,0.007784409238648676,285
30,1.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.085714,12,135,13,136,0.08163265306122448,0.087248322147651,-0.005615669086426522,0.09132966908642652,296
