"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"3","111",12725,4267,8458,-0.0280183703725706,NA,NA,NA,NA,NA,12725,461,3799,1124,7362,-0.0242374903043843,0.00378088006818635,12746
"434","112",1681,562,1119,0.0314003670028209,NA,NA,NA,NA,NA,1681,61,472,170,963,-0.0355976015459795,0.0669979685488004,1666
"499","12",17594,5875,11719,0.0369724524458372,NA,NA,NA,NA,NA,17594,1087,4803,1850,9848,0.0264033931474653,0.0105690592983719,17588
